observation_timestamp,origin,destination,departure_date,lead_time_days,carrier,flight_number,fare_class,base_fare,taxes,airport_fee,fuel_surcharge,user_development_fee,convenience_fee,other_fee,total_fare,currency,source,source_url,availability_status,collection_status,raw_hash,created_at
2026-08-06T10:00:00,DEL,BOM,2026-08-07,1,IndiGo,6E-101,Economy,14767.14,797.64,293.95,1185.71,191.27,300.0,37.03,17572.74,INR,realtime_provider,https://api.airfarex.in/search?origin=DEL&dest=BOM&date=2026-08-07,AVAILABLE,VALID,f941d7e6c8d2057054a30a71337c11d1b4bafc74d941228b3450be6bceea18a7,2026-09-04T00:39:47.558189
2026-08-06T10:00:00,DEL,BOM,2026-08-07,1,Air India,AI-801,Economy,16295.73,873.86,340.2,1181.43,241.74,300.0,35.8,19268.76,INR,realtime_provider,https://api.airfarex.in/search?origin=DEL&dest=BOM&date=2026-08-07,AVAILABLE,VALID,da57b1c80638c07b12126209b0e2f3f90edf60cf9cde8b075b459a7dfc02136e,2026-09-04T00:39:47.558289
2026-08-06T10:00:00,DEL,BOM,2026-08-07,1,Air India,AI-502,Economy,16566.72,891.2,307.82,1257.22,275.62,300.0,37.94,19636.52,INR,realtime_provider,https://api.airfarex.in/search?origin=DEL&dest=BOM&date=2026-08-07,AVAILABLE,VALID,6f6fe0f2359e14977a65e237988a253135156c87f6c831563bc4b93f3c21ee4e,2026-09-04T00:39:47.558305
2026-08-06T10:00:00,DEL,BOM,2026-08-07,1,Vistara,UK-812,Economy,17350.89,939.3,313.66,1435.02,190.2,300.0,4.84,20533.91,INR,realtime_provider,https://api.airfarex.in/search?origin=DEL&dest=BOM&date=2026-08-07,AVAILABLE,VALID,318a9c72c43fea4bdd9fc0be49537346de63c290ac94fde04ed78c60e68101fd,2026-09-04T00:39:47.558331
2026-08-06T10:00:00,DEL,BOM,2026-08-07,1,Vistara,UK-945,Economy,17746.58,956.45,352.97,1382.49,238.99,300.0,48.66,21026.14,INR,realtime_provider,https://api.airfarex.in/search?origin=DEL&dest=BOM&date=2026-08-07,AVAILABLE,VALID,cd0124f8b8b763c3371dab8a4e31a0e735c39fe3b77efb4d1f4928ed5ede8bf9,2026-09-04T00:39:47.558343
2026-08-06T10:00:00,DEL,BOM,2026-08-07,1,Akasa Air,QP-1304,Economy,14003.16,755.96,302.79,1116.04,211.83,300.0,3.99,16693.77,INR,realtime_provider,https://api.airfarex.in/search?origin=DEL&dest=BOM&date=2026-08-07,AVAILABLE,VALID,9c0dd5d8260ce870cdd458955ba1f2a3ec3ddc95cfbb2b88d54ea416bf370453,2026-09-04T00:39:47.558359
2026-08-06T10:00:00,DEL,BOM,2026-08-07,1,Akasa Air,QP-1102,Economy,13584.84,739.11,343.57,1197.29,220.13,300.0,18.51,16403.45,INR,realtime_provider,https://api.airfarex.in/search?origin=DEL&dest=BOM&date=2026-08-07,AVAILABLE,VALID,0670016de3e4d086060d1ec0130d8137e1f71588334e9649164b24c53b0b95cc,2026-09-04T00:39:47.558370
2026-08-06T10:00:00,DEL,BOM,2026-08-07,1,SpiceJet,SG-201,Economy,13592.72,738.92,326.23,1185.68,209.69,300.0,46.27,16399.51,INR,realtime_provider,https://api.airfarex.in/search?origin=DEL&dest=BOM&date=2026-08-07,AVAILABLE,VALID,cad39514f25c27fecd452c3fddc3b1679512380246e660c5ef343310c3b3bab0,2026-09-04T00:39:47.558388
2026-08-06T10:00:00,DEL,BOM,2026-08-07,1,SpiceJet,SG-403,Economy,13379.32,729.64,356.83,1213.5,186.15,300.0,41.09,16206.53,INR,realtime_provider,https://api.airfarex.in/search?origin=DEL&dest=BOM&date=2026-08-07,AVAILABLE,VALID,9b551e52f91d0d35f50e0a02e750597c4cb6056131b049f2250dc74bd96d602d,2026-09-04T00:39:47.558399
2026-08-06T10:00:00,DEL,BOM,2026-08-13,7,IndiGo,6E-305,Economy,10069.37,574.97,367.64,1430.02,214.61,300.0,32.77,12989.38,INR,realtime_provider,https://api.airfarex.in/search?origin=DEL&dest=BOM&date=2026-08-13,AVAILABLE,VALID,79f043d7f5ba3541448370709e6800ad1825c37e99b85857e89a369c59a14355,2026-09-04T00:39:47.558427
