route,airline,scrape_date,travel_date,advance_days,base_fare,tax,total_fare
DEL-BOM,Air India,2026-09-09,2026-09-10,1,,,6314
DEL-BOM,IndiGo,2026-09-09,2026-09-10,1,,,6425
DEL-BOM,Akasa Air,2026-09-09,2026-09-10,1,,,6880
DEL-BOM,IndiGo,2026-09-09,2026-09-10,1,,,6117
DEL-BOM,IndiGo,2026-09-09,2026-09-10,1,,,6117
DEL-BOM,Air India,2026-09-09,2026-09-10,1,,,6314
DEL-BOM,IndiGo,2026-09-09,2026-09-10,1,,,6425
DEL-BOM,IndiGo,2026-09-09,2026-09-10,1,,,6425
DEL-BOM,IndiGo,2026-09-09,2026-09-10,1,,,6425
DEL-BOM,IndiGo,2026-09-09,2026-09-10,1,,,6425
DEL-BOM,IndiGo,2026-09-09,2026-09-10,1,,,6425
DEL-BOM,IndiGo,2026-09-09,2026-09-10,1,,,6425
DEL-BOM,Air India,2026-09-09,2026-09-10,1,,,6582
DEL-BOM,Air India,2026-09-09,2026-09-10,1,,,6582
DEL-BOM,Air India,2026-09-09,2026-09-10,1,,,6582
DEL-BOM,Air India,2026-09-09,2026-09-10,1,,,6582
DEL-BOM,Air India,2026-09-09,2026-09-10,1,,,6582
DEL-BOM,Air India,2026-09-09,2026-09-10,1,,,6582
DEL-BOM,IndiGo,2026-09-09,2026-09-10,1,,,6583
DEL-BOM,IndiGo,2026-09-09,2026-09-10,1,,,6583
DEL-BOM,IndiGo,2026-09-09,2026-09-10,1,,,6583
DEL-BOM,IndiGo,2026-09-09,2026-09-10,1,,,6583
DEL-BOM,IndiGo,2026-09-09,2026-09-10,1,,,6583
DEL-BOM,IndiGo,2026-09-09,2026-09-10,1,,,6583
DEL-BOM,IndiGo,2026-09-09,2026-09-10,1,,,6583
DEL-BOM,IndiGo,2026-09-09,2026-09-10,1,,,6583
DEL-BOM,Air India,2026-09-09,2026-09-10,1,,,6740
DEL-BOM,Air India,2026-09-09,2026-09-10,1,,,6740
DEL-BOM,Air India,2026-09-09,2026-09-10,1,,,6740
DEL-BOM,Air India,2026-09-09,2026-09-10,1,,,6779
DEL-BOM,Air India,2026-09-09,2026-09-10,1,,,6779
DEL-BOM,IndiGo,2026-09-09,2026-09-10,1,,,6793
DEL-BOM,Akasa Air,2026-09-09,2026-09-10,1,,,6880
DEL-BOM,Akasa Air,2026-09-09,2026-09-10,1,,,6880
DEL-BOM,Akasa Air,2026-09-09,2026-09-10,1,,,6880
DEL-BOM,Akasa Air,2026-09-09,2026-09-10,1,,,6880
DEL-BOM,Air India,2026-09-09,2026-09-10,1,,,6950
DEL-BOM,IndiGo,2026-09-09,2026-09-10,1,,,7055
DEL-BOM,IndiGo,2026-09-09,2026-09-10,1,,,7055
DEL-BOM,Air India,2026-09-09,2026-09-10,1,,,7212
DEL-BOM,Air India,2026-09-09,2026-09-10,1,,,7212
DEL-BOM,Air India,2026-09-09,2026-09-10,1,,,7212
DEL-BOM,Air India,2026-09-09,2026-09-10,1,,,7212
DEL-BOM,Akasa Air,2026-09-09,2026-09-10,1,,,7453
DEL-BOM,Akasa Air,2026-09-09,2026-09-10,1,,,7716
DEL-BOM,Air India,2026-09-09,2026-09-10,1,,,7779
DEL-BOM,Air India,2026-09-09,2026-09-10,1,,,8698
DEL-BOM,Akasa Air,2026-09-09,2026-09-10,1,,,8720
DEL-BOM,Air India,2026-09-09,2026-09-10,1,,,9569
DEL-BOM,Air India,2026-09-09,2026-09-10,1,,,9968
DEL-BOM,Air India,2026-09-09,2026-09-10,1,,,9968
DEL-BOM,Air India,2026-09-09,2026-09-10,1,,,10409
